author_date,la,ld,nf,nd,ns,ent,ndev,age,nuc,aexp,arexp,asexp,buggy
1063292086,58,0,1,1,1,0.0,1.0,0.0,1.0,10,10.0,6.0,0
1063292137,78,0,1,1,1,0.0,0.0,0.0,0.0,21,21.0,1.0,0
1063292285,2,3,1,1,1,0.0,2.0,0.0,2.0,11,11.0,7.0,0
1063292362,2,0,1,1,1,0.0,2.0,0.0,3.0,12,12.0,8.0,0
1063292625,33,0,1,1,1,0.0,1.0,0.0,1.0,13,13.0,9.0,0
1063292784,42,0,1,1,1,0.0,2.0,0.0,2.0,14,14.0,10.0,0
1063293123,38,1,6,4,1,2.09134003859844,0.166666666666667,0.0,1.0,22,22.0,2.0,0
1063294529,96,17,6,3,1,2.31471693590261,0.333333333333333,0.0,1.8333333333333304,15,15.0,11.0,0
1063295036,21,3,2,2,1,0.811278124459133,1.0,0.0,3.5,16,16.0,12.0,0
1063296087,4,0,1,1,1,0.0,1.0,0.0,1.0,23,23.0,3.0,0
1063296466,49,9,3,3,1,0.942333447095288,0.666666666666667,0.0,1.33333333333333,24,24.0,4.0,0
1063297057,10,0,2,2,1,1.0,1.0,0.0,1.5,25,25.0,5.0,0
1063298138,10,0,1,1,1,0.0,2.0,0.0,3.0,18,18.0,13.0,0
1063298262,2,2,2,2,1,1.0,1.0,0.0,2.5,19,19.0,14.0,0
1063298352,2,2,2,2,1,1.0,1.0,0.0,3.5,20,20.0,15.0,0
1063298719,5,3,2,1,1,1.0,1.0,0.0,3.5,21,21.0,16.0,0
1063298927,15,0,1,1,1,0.0,2.0,0.0,5.0,22,22.0,17.0,0
1063299474,23,0,2,1,1,0.998635964158572,1.0,0.0,5.0,23,23.0,18.0,0
1063303299,61,7,4,3,2,1.85449579394048,0.25,0.0,2.75,27,27.0,0.0006060451269149,0
1063304257,27,36,1,1,1,0.0,1.0,0.0,3.0,28,28.0,7.0,0
1063306449,78,54,5,4,2,1.39779841476321,0.2,0.0,3.4,29,29.0,0.0006060544401407,0
1063307146,182,0,5,3,1,1.39253429578996,0.2,0.0,1.8,30,30.0,9.0,0
1063308839,22,0,1,1,1,0.0,1.0,0.0,3.0,31,31.0,10.0,0
1063310651,57,14,3,2,1,1.477972631911,0.666666666666667,0.0,5.66666666666667,24,24.0,19.0,0
1063311129,31,5,2,1,1,0.183122068301373,1.0,0.0,7.0,25,25.0,20.0,0
1063311851,71,0,2,1,1,0.967559481901821,1.0,0.0,8.0,26,26.0,21.0,0
1063313516,70,4,6,3,1,2.51967199794846,0.333333333333333,0.0,6.0,27,27.0,22.0,0
1063313887,0,4,1,1,1,0.0,2.0,0.0,9.0,28,28.0,23.0,0
1063320095,285,114,11,5,2,2.91518558919702,0.0909090909090909,0.0,2.2727272727272703,34,34.0,0.0006060571759007,0
1063352773,158,42,14,5,1,2.92286591612036,0.142857142857143,0.0,2.57142857142857,35,35.0,14.0,0
1063360978,58,0,1,1,1,0.0,1.0,0.0,1.0,37,37.0,16.0,0
1063361736,65,0,1,1,1,0.0,0.0,0.0,0.0,38,38.0,17.0,0
1063363952,90,0,4,3,1,0.785607389194549,0.25,0.0,3.5,41,41.0,20.0,0
1063389525,87,0,4,3,1,0.8450302515157241,0.25,0.0,4.25,42,42.0,21.0,0
1063431379,77,34,2,1,1,0.91829583405449,1.0,1.0,4.0,29,29.0,24.0,0
1063434968,67,3,7,6,3,1.77998373458079,0.285714285714286,0.5714285714285711,4.42857142857143,43,43.0,0.0014921727016016,0
1063435527,48,0,2,1,1,0.968461008760162,1.0,0.5,11.0,30,30.0,25.0,0
1063439584,243,29,7,4,2,2.09353216791902,0.142857142857143,0.142857142857143,4.142857142857141,47,47.0,0.0006060572641146,0
